10-Day Green Smoothie Cleanse,1,4.7,17350,8,2016,1
11/22/63: A Novel,2,4.6,2052,22,2011,2
12 Rules For Life: An Antidote To Chaos,3,4.7,18979,15,2018,1
1984 (Signet Classics),4,4.7,21424,6,2017,2
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",5,4.8,7665,12,2019,1
A Dance With Dragons (A Song Of Ice And Fire),6,4.4,12643,11,2011,2
A Game Of Thrones / A Clash Of Kings / A Storm Of Swords / A Feast Of Crows / A Dance With Dragons,6,4.7,19735,30,2014,2
A Gentleman In Moscow: A Novel,7,4.7,19699,15,2017,2
"A Higher Loyalty: Truth, Lies, And Leadership",8,4.7,5983,3,2018,1
A Man Called Ove: A Novel,9,4.6,23848,8,2016,2
A Man Called Ove: A Novel,9,4.6,23848,8,2017,2
A Patriot'S History Of The United States: From Columbus'S Great Discovery To The War On Terror,10,4.6,460,2,2010,1
A Stolen Life: A Memoir,11,4.6,4149,32,2011,1
A Wrinkle In Time (Time Quintet),12,4.5,5153,5,2018,2
"Act Like A Lady, Think Like A Man: What Men Really Think About Love, Relationships, Intimacy, And Commitment",13,4.6,5013,17,2009,1
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, And Paisley Patterns",14,4.5,2313,4,2016,1
Adult Coloring Book: Stress Relieving Animal Designs,15,4.6,2925,6,2015,1
Adult Coloring Book: Stress Relieving Patterns,15,4.4,2951,6,2015,1
"Adult Coloring Books: A Coloring Book For Adults Featuring Mandalas And Henna Inspired Flowers, Animals, And Paisley…",16,4.5,2426,8,2015,1
Alexander Hamilton,17,4.8,9198,13,2016,1
All The Light We Cannot See,18,4.6,36348,14,2014,2
All The Light We Cannot See,18,4.6,36348,14,2015,2
Allegiant,19,3.9,6310,13,2013,2
American Sniper: The Autobiography Of The Most Lethal Sniper In U.S. Military History,20,4.6,15921,9,2015,1
And The Mountains Echoed,21,4.3,12159,13,2013,2
Arguing With Idiots: How To Stop Small Minds And Big Government,22,4.6,798,5,2009,1
Astrophysics For People In A Hurry,23,4.7,9374,9,2017,1
"Autobiography Of Mark Twain, Vol. 1",24,4.2,491,14,2010,1
Baby Touch And Feel: Animals,25,4.6,5360,5,2015,1
Balance (Angie'S Extreme Stress Menders),26,4.6,1909,11,2015,1
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,27,4.8,1296,24,2012,1
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",27,4.7,615,21,2010,1
Becoming,28,4.8,61133,11,2018,1
Becoming,28,4.8,61133,11,2019,1
Being Mortal: Medicine And What Matters In The End,29,4.8,11113,15,2015,1
Between The World And Me,30,4.7,10070,13,2015,1
Between The World And Me,30,4.7,10070,13,2016,1
Born To Run,31,4.7,3729,18,2016,1
"Breaking Dawn (The Twilight Saga, Book 4)",32,4.6,9769,13,2009,2
"Broke: The Plan To Restore Our Trust, Truth And Treasure",22,4.5,471,8,2010,1
"Brown Bear, Brown Bear, What Do You See?",33,4.9,14344,5,2017,2
"Brown Bear, Brown Bear, What Do You See?",33,4.9,14344,5,2019,2
"Cabin Fever (Diary Of A Wimpy Kid, Book 6)",34,4.8,4505,0,2011,2
Calm The F*Ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),35,4.6,10369,4,2016,1
Can'T Hurt Me: Master Your Mind And Defy The Odds,36,4.8,16244,18,2019,1
Capital In The Twenty First Century,37,4.5,2884,28,2014,1
Catching Fire (The Hunger Games),38,4.7,22614,11,2010,2
Catching Fire (The Hunger Games),38,4.7,22614,11,2011,2
Catching Fire (The Hunger Games),38,4.7,22614,11,2012,2
Cravings: Recipes For All The Food You Want To Eat: A Cookbook,39,4.7,4761,16,2016,1
Crazy Love: Overwhelmed By A Relentless God,40,4.7,1542,14,2009,1
Crazy Love: Overwhelmed By A Relentless God,40,4.7,1542,14,2010,1
Crazy Love: Overwhelmed By A Relentless God,40,4.7,1542,14,2011,1
Crazy Rich Asians (Crazy Rich Asians Trilogy),41,4.3,6143,8,2018,2
Creative Haven Creative Cats Coloring Book (Adult Coloring),42,4.8,4022,4,2015,1
Creative Haven Owls Coloring Book (Adult Coloring),42,4.8,3871,5,2015,1
Cutting For Stone,43,4.6,4866,11,2010,2
Cutting For Stone,43,4.6,4866,11,2011,2
"Daring Greatly: How The Courage To Be Vulnerable Transforms The Way We Live, Love, Parent, And Lead",44,4.8,1329,10,2013,1
"David And Goliath: Underdogs, Misfits, And The Art Of Battling Giants",45,4.4,4642,13,2013,1
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),46,4.6,1541,4,2009,2
"Dead In The Family (Sookie Stackhouse/True Blood, Book 10)",46,4.3,1924,8,2010,2
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",46,4.2,2094,4,2011,2
Dear Zoo: A Lift-The-Flap Book,47,4.8,10922,5,2015,2
Dear Zoo: A Lift-The-Flap Book,47,4.8,10922,5,2016,2
Dear Zoo: A Lift-The-Flap Book,47,4.8,10922,5,2017,2
Dear Zoo: A Lift-The-Flap Book,47,4.8,10922,5,2018,2
Decision Points,48,4.6,2137,17,2010,1
"Delivering Happiness: A Path To Profits, Passion, And Purpose",49,4.6,1651,15,2010,1
"Diagnostic And Statistical Manual Of Mental Disorders, 5Th Edition: Dsm-5",50,4.5,6679,105,2013,1
"Diagnostic And Statistical Manual Of Mental Disorders, 5Th Edition: Dsm-5",50,4.5,6679,105,2014,1
"Diary Of A Wimpy Kid: Hard Luck, Book 8",34,4.8,6812,0,2013,2
Diary Of A Wimpy Kid: The Last Straw (Book 3),34,4.8,3837,15,2009,2
Diary Of A Wimpy Kid: The Long Haul,34,4.8,6540,22,2014,2
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books For Smart Kids),51,4.6,7955,5,2019,1
Divergent,19,4.6,27098,15,2013,2
Divergent,19,4.6,27098,15,2014,2
Divergent / Insurgent,19,4.5,17684,6,2014,2
"Divine Soul Mind Body Healing And Transmission System: The Divine Way To Heal You, Humanity, Mother Earth, And All…",52,4.6,37,6,2009,1
Doctor Sleep: A Novel,2,4.7,15845,13,2013,2
"Dog Days (Diary Of A Wimpy Kid, Book 4) (Volume 4)",34,4.8,3181,12,2009,2
Dog Man And Cat Kid: From The Creator Of Captain Underpants (Dog Man #4),53,4.9,5062,6,2018,2
Dog Man: A Tale Of Two Kitties: From The Creator Of Captain Underpants (Dog Man #3),53,4.9,4786,8,2017,2
Dog Man: Brawl Of The Wild: From The Creator Of Captain Underpants (Dog Man #6),53,4.9,7235,4,2018,2
Dog Man: Brawl Of The Wild: From The Creator Of Captain Underpants (Dog Man #6),53,4.9,7235,4,2019,2
Dog Man: Fetch-22: From The Creator Of Captain Underpants (Dog Man #8),53,4.9,12619,8,2019,2
Dog Man: For Whom The Ball Rolls: From The Creator Of Captain Underpants (Dog Man #7),53,4.9,9089,8,2019,2
Dog Man: Lord Of The Fleas: From The Creator Of Captain Underpants (Dog Man #5),53,4.9,5470,6,2018,2
Double Down (Diary Of A Wimpy Kid #11),34,4.8,5118,20,2016,2
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),54,4.6,2134,5,2015,1
Drive: The Surprising Truth About What Motivates Us,55,4.5,2525,16,2010,1
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,56,4.5,720,1,2009,1
"Eat This, Not That! Thousands Of Simple Food Swaps That Can Save You 10, 20, 30 Pounds--Or More!",56,4.3,956,14,2009,1
"Eat To Live: The Amazing Nutrient-Rich Program For Fast And Sustained Weight Loss, Revised Edition",57,4.5,6346,9,2011,1
"Eat To Live: The Amazing Nutrient-Rich Program For Fast And Sustained Weight Loss, Revised Edition",57,4.5,6346,9,2012,1
Eclipse (Twilight Sagas),32,4.7,5505,7,2009,2
Eclipse (Twilight),32,4.7,5505,18,2009,2
Educated: A Memoir,58,4.7,28729,15,2018,1
Educated: A Memoir,58,4.7,28729,15,2019,1
"Enchanted Forest: An Inky Quest And Coloring Book (Activity Books, Mindfulness And Meditation, Illustrated Floral Prints…",59,4.7,5413,9,2015,1
Fahrenheit 451,60,4.6,10721,8,2016,2
Fahrenheit 451,60,4.6,10721,8,2018,2
Fantastic Beasts And Where To Find Them: The Original Screenplay (Harry Potter),61,4.7,4370,15,2016,2
Fear: Trump In The White House,62,4.4,6042,2,2018,1
Fifty Shades Darker,63,4.4,23631,7,2012,2
Fifty Shades Freed: Book Three Of The Fifty Shades Trilogy (Fifty Shades Of Grey Series) (English Edition),63,4.5,20262,11,2012,2
Fifty Shades Of Grey: Book One Of The Fifty Shades Trilogy (Fifty Shades Of Grey Series),63,3.8,47265,14,2012,2
Fifty Shades Of Grey: Book One Of The Fifty Shades Trilogy (Fifty Shades Of Grey Series),63,3.8,47265,14,2013,2
Fifty Shades Trilogy (Fifty Shades Of Grey / Fifty Shades Darker / Fifty Shades Freed),63,4.5,13964,32,2012,2
Fire And Fury: Inside The Trump White House,64,4.2,13677,6,2018,1
First 100 Words,65,4.7,17323,4,2014,1
First 100 Words,65,4.7,17323,4,2015,1
First 100 Words,65,4.7,17323,4,2016,1
First 100 Words,65,4.7,17323,4,2017,1
First 100 Words,65,4.7,17323,4,2018,1
Food Rules: An Eater'S Manual,66,4.4,1555,9,2010,1
Frozen (Little Golden Book),67,4.7,3642,0,2014,2
"Game Change: Obama And The Clintons, Mccain And Palin, And The Race Of A Lifetime",68,4.4,1215,9,2010,1
Game Of Thrones Boxed Set: A Game Of Thrones/A Clash Of Kings/A Storm Of Swords/A Feast For Crows,69,4.6,5594,5,2011,2
Game Of Thrones Boxed Set: A Game Of Thrones/A Clash Of Kings/A Storm Of Swords/A Feast For Crows,69,4.6,5594,5,2012,2
Game Of Thrones Boxed Set: A Game Of Thrones/A Clash Of Kings/A Storm Of Swords/A Feast For Crows,69,4.6,5594,5,2013,2
George Washington'S Sacred Fire,70,4.5,408,20,2010,1
George Washington'S Secret Six: The Spy Ring That Saved The American Revolution,71,4.6,4799,16,2013,1
Giraffes Can'T Dance,72,4.8,14038,4,2015,2
Giraffes Can'T Dance,72,4.8,14038,4,2016,2
Giraffes Can'T Dance,72,4.8,14038,4,2017,2
Giraffes Can'T Dance,72,4.8,14038,4,2018,2
Giraffes Can'T Dance,72,4.8,14038,4,2019,2
"Girl, Stop Apologizing: A Shame-Free Plan For Embracing And Achieving Your Goals",73,4.6,7660,12,2019,1
"Girl, Wash Your Face: Stop Believing The Lies About Who You Are So You Can Become Who You Were Meant To Be",73,4.6,22288,12,2018,1
"Girl, Wash Your Face: Stop Believing The Lies About Who You Are So You Can Become Who You Were Meant To Be",73,4.6,22288,12,2019,1
"Glenn Beck'S Common Sense: The Case Against An Out-Of-Control Government, Inspired By Thomas Paine",22,4.6,1365,11,2009,1
Go Set A Watchman: A Novel,74,3.6,14982,19,2015,2
Go The F**K To Sleep,75,4.8,9568,9,2011,2
Going Rogue: An American Life,76,4.6,1636,6,2009,1
Gone Girl,77,4.0,57271,10,2012,2
Gone Girl,77,4.0,57271,10,2013,2
Gone Girl,77,4.0,57271,9,2014,2
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,78,4.6,10141,6,2019,1
Good To Great: Why Some Companies Make The Leap And Others Don'T,79,4.5,3457,14,2009,1
Good To Great: Why Some Companies Make The Leap And Others Don'T,79,4.5,3457,14,2010,1
Good To Great: Why Some Companies Make The Leap And Others Don'T,79,4.5,3457,14,2011,1
Good To Great: Why Some Companies Make The Leap And Others Don'T,79,4.5,3457,14,2012,1
Goodnight Moon,80,4.8,8837,5,2017,2
Goodnight Moon,80,4.8,8837,5,2018,2
Goodnight Moon,80,4.8,8837,5,2019,2
"Goodnight, Goodnight Construction Site (Hardcover Books For Toddlers, Preschool Books For Kids)",81,4.9,7038,7,2012,2
"Goodnight, Goodnight Construction Site (Hardcover Books For Toddlers, Preschool Books For Kids)",81,4.9,7038,7,2013,2
"Grain Brain: The Surprising Truth About Wheat, Carbs, And Sugar--Your Brain'S Silent Killers",82,4.6,5972,10,2014,1
Grey: Fifty Shades Of Grey As Told By Christian (Fifty Shades Of Grey Series),63,4.4,25624,14,2015,2
Guts,83,4.8,5476,7,2019,1
Hamilton: The Revolution,84,4.9,5867,54,2016,1
"Happy, Happy, Happy: My Life And Legacy As The Duck Commander",85,4.8,4148,11,2013,1
"Harry Potter And The Chamber Of Secrets: The Illustrated Edition (Harry Potter, Book 2)",61,4.9,19622,30,2016,2
"Harry Potter And The Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",61,4.0,23973,12,2016,2
"Harry Potter And The Goblet Of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",86,4.9,7758,18,2019,2
"Harry Potter And The Prisoner Of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",61,4.9,3146,30,2017,2
"Harry Potter And The Sorcerer'S Stone: The Illustrated Edition (Harry Potter, Book 1)",61,4.9,10052,22,2016,2
Harry Potter Coloring Book,87,4.7,3564,9,2015,1
Harry Potter Paperback Box Set (Books 1-7),86,4.8,13471,52,2016,2
Have A Little Faith: A True Story,88,4.8,1930,4,2009,1
Heaven Is For Real: A Little Boy'S Astounding Story Of His Trip To Heaven And Back,89,4.7,15779,10,2011,1
Heaven Is For Real: A Little Boy'S Astounding Story Of His Trip To Heaven And Back,89,4.7,15779,10,2012,1
Hillbilly Elegy: A Memoir Of A Family And Culture In Crisis,90,4.4,15526,14,2016,1
Hillbilly Elegy: A Memoir Of A Family And Culture In Crisis,90,4.4,15526,14,2017,1
Homebody: A Guide To Creating Spaces You Never Want To Leave,91,4.8,3776,22,2018,1
How To Win Friends & Influence People,92,4.7,25001,11,2014,1
How To Win Friends & Influence People,92,4.7,25001,11,2015,1
How To Win Friends & Influence People,92,4.7,25001,11,2016,1
How To Win Friends & Influence People,92,4.7,25001,11,2017,1
How To Win Friends & Influence People,92,4.7,25001,11,2018,1
Howard Stern Comes Again,93,4.3,5272,16,2019,1
Humans Of New York,94,4.8,3490,15,2013,1
Humans Of New York,94,4.8,3490,15,2014,1
Humans Of New York : Stories,94,4.9,2812,17,2015,1
"Hyperbole And A Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, And Other Things That Happened",95,4.7,4896,17,2013,1
"I Am Confident, Brave & Beautiful: A Coloring Book For Girls",96,4.8,9737,7,2019,1
"I, Alex Cross",97,4.6,1320,7,2009,2
If Animals Kissed Good Night,98,4.8,16643,4,2017,2
If Animals Kissed Good Night,98,4.8,16643,4,2019,2
If I Stay,99,4.3,7153,9,2014,2
"In The Garden Of Beasts: Love, Terror, And An American Family In Hitler'S Berlin",100,4.4,4571,21,2011,1
Inferno,101,4.1,29651,14,2013,2
Inheritance: Book Iv (Inheritance Cycle),102,4.6,5299,20,2011,2
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes For Beginners And Advanced Users. Try Easy And Healthy…,103,4.4,7396,13,2019,1
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes For Beginners And Advanced Users. Try Easy And Healthy…,103,4.4,7396,13,2018,1
It'S Not Supposed To Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,104,4.8,7062,12,2019,1
Jesus Calling: Enjoying Peace In His Presence (With Scripture References),105,4.9,19576,8,2011,1
Jesus Calling: Enjoying Peace In His Presence (With Scripture References),105,4.9,19576,8,2012,1
Jesus Calling: Enjoying Peace In His Presence (With Scripture References),105,4.9,19576,8,2013,1
Jesus Calling: Enjoying Peace In His Presence (With Scripture References),105,4.9,19576,8,2014,1
Jesus Calling: Enjoying Peace In His Presence (With Scripture References),105,4.9,19576,8,2015,1
Jesus Calling: Enjoying Peace In His Presence (With Scripture References),105,4.9,19576,8,2016,1
Journey To The Ice P,67,4.6,978,0,2014,2
Joyland (Hard Case Crime),2,4.5,4748,12,2013,2
Killers Of The Flower Moon: The Osage Murders And The Birth Of The Fbi,106,4.6,8393,17,2017,1
Killing Jesus (Bill O'Reilly'S Killing Series),107,4.5,11391,12,2013,1
Killing Kennedy: The End Of Camelot,107,4.6,8634,25,2012,1
Killing Lincoln: The Shocking Assassination That Changed America Forever (Bill O'Reilly'S Killing Series),107,4.7,9342,10,2011,1
Killing Lincoln: The Shocking Assassination That Changed America Forever (Bill O'Reilly'S Killing Series),107,4.7,9342,10,2012,1
Killing Patton: The Strange Death Of World War Ii'S Most Audacious General (Bill O'Reilly'S Killing Series),107,4.6,10927,6,2014,1
Killing Reagan: The Violent Assault That Changed A Presidency (Bill O'Reilly'S Killing Series),107,4.6,5235,5,2015,1
Killing The Rising Sun: How America Vanquished World War Ii Japan (Bill O'Reilly'S Killing Series),107,4.8,8916,6,2016,1
Kitchen Confidential Updated Edition: Adventures In The Culinary Underbelly (P.S.),108,4.8,2507,8,2018,1
Knock-Knock Jokes For Kids,109,4.5,3673,4,2013,1
Knock-Knock Jokes For Kids,109,4.5,3673,4,2014,1
Knock-Knock Jokes For Kids,109,4.5,3673,4,2015,1
"Last Week Tonight With John Oliver Presents A Day In The Life Of Marlon Bundo (Better Bundo Book, Lgbt ChildrenS Book)",110,4.9,11881,13,2018,2
Laugh-Out-Loud Jokes For Kids,109,4.6,6990,4,2013,1
Laugh-Out-Loud Jokes For Kids,109,4.6,6990,4,2014,1
Laugh-Out-Loud Jokes For Kids,109,4.6,6990,4,2015,1
Laugh-Out-Loud Jokes For Kids,109,4.6,6990,4,2016,1
Laugh-Out-Loud Jokes For Kids,109,4.6,6990,4,2017,1
"Lean In: Women, Work, And The Will To Lead",111,4.5,6132,13,2013,1
Leonardo Da Vinci,112,4.5,3014,21,2017,1
Lettering And Modern Calligraphy: A Beginner'S Guide: Learn Hand Lettering And Brush Lettering,113,4.4,7550,6,2018,1
Liberty And Tyranny: A Conservative Manifesto,114,4.8,3828,15,2009,1
Life,115,4.5,2752,18,2010,1
Little Bee: A Novel,116,4.1,1467,10,2010,2
Little Blue Truck,117,4.9,1884,0,2014,2
Little Fires Everywhere,118,4.5,25706,12,2018,2
Looking For Alaska,119,4.5,8491,7,2014,2
"Love Wins: A Book About Heaven, Hell, And The Fate Of Every Person Who Ever Lived",120,4.2,1649,13,2011,1
Love You Forever,121,4.8,18613,5,2014,2
Love You Forever,121,4.8,18613,5,2015,2
Magnolia Table: A Collection Of Recipes For Gathering,91,4.8,9867,16,2018,1
Make It Ahead: A Barefoot Contessa Cookbook,27,4.5,1386,20,2014,1
Make Your Bed: Little Things That Can Change Your Life...And Maybe The World,122,4.7,10199,11,2017,1
"Mastering The Art Of French Cooking, Vol. 2",123,4.8,2926,27,2009,1
Milk And Honey,124,4.7,17739,8,2016,1
Milk And Honey,124,4.7,17739,8,2017,1
Milk And Honey,124,4.7,17739,8,2018,1
Milk And Vine: Inspirational Quotes From Classic Vines,125,4.4,3113,6,2017,1
Mindset: The New Psychology Of Success,126,4.6,5542,10,2014,1
Mindset: The New Psychology Of Success,126,4.6,5542,10,2015,1
Mindset: The New Psychology Of Success,126,4.6,5542,10,2016,1
Mockingjay (The Hunger Games),38,4.5,26741,8,2010,2
Mockingjay (The Hunger Games),38,4.5,26741,8,2011,2
Mockingjay (The Hunger Games),38,4.5,26741,8,2012,2
"National Geographic Kids Why?: Over 1,111 Answers To Everything",127,4.8,5347,16,2019,1
National Geographic Little Kids First Big Book Of Why (National Geographic Little Kids First Big Books),128,4.8,7866,11,2019,1
New Moon (The Twilight Saga),32,4.6,5680,10,2009,2
Night (Night),129,4.7,5178,9,2016,1
No Easy Day: The Autobiography Of A Navy Seal: The Firsthand Account Of The Mission That Killed Osama Bin Laden,130,4.6,8093,14,2012,1
Obama: An Intimate Portrait,131,4.9,3192,22,2017,1
"Oh, The Places You'Ll Go!",132,4.9,21834,8,2012,2
"Oh, The Places You'Ll Go!",132,4.9,21834,8,2013,2
"Oh, The Places You'Ll Go!",132,4.9,21834,8,2014,2
"Oh, The Places You'Ll Go!",132,4.9,21834,8,2015,2
"Oh, The Places You'Ll Go!",132,4.9,21834,8,2016,2
"Oh, The Places You'Ll Go!",132,4.9,21834,8,2017,2
"Oh, The Places You'Ll Go!",132,4.9,21834,8,2018,2
"Oh, The Places You'Ll Go!",132,4.9,21834,8,2019,2
Old School (Diary Of A Wimpy Kid #10),34,4.8,6169,7,2015,2
Olive Kitteridge,133,4.2,4519,12,2009,2
One Thousand Gifts: A Dare To Live Fully Right Where You Are,134,4.6,3163,13,2011,1
One Thousand Gifts: A Dare To Live Fully Right Where You Are,134,4.6,3163,13,2012,1
"Option B: Facing Adversity, Building Resilience, And Finding Joy",111,4.5,1831,9,2017,1
Origin: A Novel (Robert Langdon),101,4.3,18904,13,2017,2
Orphan Train,135,4.6,21930,11,2014,2
Outliers: The Story Of Success,45,4.6,10426,20,2009,1
Outliers: The Story Of Success,45,4.6,10426,20,2010,1
P Is For Potty! (Sesame Street) (Lift-The-Flap),136,4.7,10820,5,2018,1
P Is For Potty! (Sesame Street) (Lift-The-Flap),136,4.7,10820,5,2019,1
Percy Jackson And The Olympians Paperback Boxed Set (Books 1-3),137,4.8,548,2,2010,2
Player'S Handbook (Dungeons & Dragons),138,4.8,16990,27,2017,2
Player'S Handbook (Dungeons & Dragons),138,4.8,16990,27,2018,2
Player'S Handbook (Dungeons & Dragons),138,4.8,16990,27,2019,2
Pokémon Deluxe Essential Handbook: The Need-To-Know Stats And Facts On Over 700 Pokémon,87,4.7,3503,9,2016,2
Proof Of Heaven: A Neurosurgeon'S Journey Into The Afterlife,139,4.3,13616,10,2012,1
Proof Of Heaven: A Neurosurgeon'S Journey Into The Afterlife,139,4.3,13616,10,2013,1
"Publication Manual Of The American Psychological Association, 6Th Edition",140,4.5,8580,46,2009,1
"Publication Manual Of The American Psychological Association, 6Th Edition",140,4.5,8580,46,2010,1
"Publication Manual Of The American Psychological Association, 6Th Edition",140,4.5,8580,46,2011,1
"Publication Manual Of The American Psychological Association, 6Th Edition",140,4.5,8580,46,2012,1
"Publication Manual Of The American Psychological Association, 6Th Edition",140,4.5,8580,46,2013,1
"Publication Manual Of The American Psychological Association, 6Th Edition",140,4.5,8580,46,2014,1
"Publication Manual Of The American Psychological Association, 6Th Edition",140,4.5,8580,46,2015,1
"Publication Manual Of The American Psychological Association, 6Th Edition",140,4.5,8580,46,2016,1
"Publication Manual Of The American Psychological Association, 6Th Edition",140,4.5,8580,46,2017,1
"Publication Manual Of The American Psychological Association, 6Th Edition",140,4.5,8580,46,2018,1
Puppy Birthday To You! (Paw Patrol) (Little Golden Book),141,4.8,4757,4,2017,2
Quiet: The Power Of Introverts In A World That Can'T Stop Talking,142,4.6,10009,20,2012,1
Quiet: The Power Of Introverts In A World That Can'T Stop Talking,142,4.6,10009,7,2013,1
Radical: Taking Back Your Faith From The American Dream,143,4.7,1985,9,2010,1
Radical: Taking Back Your Faith From The American Dream,143,4.7,1985,9,2011,1
Ready Player One: A Novel,144,4.6,22536,12,2017,2
Ready Player One: A Novel,144,4.6,22536,12,2018,2
Rush Revere And The Brave Pilgrims: Time-Travel Adventures With Exceptional Americans (1),145,4.9,7150,12,2013,2
Rush Revere And The First Patriots: Time-Travel Adventures With Exceptional Americans (2),145,4.9,3836,12,2014,2
"Salt, Fat, Acid, Heat: Mastering The Elements Of Good Cooking",146,4.8,7802,20,2018,1
"Salt, Fat, Acid, Heat: Mastering The Elements Of Good Cooking",146,4.8,7802,20,2019,1
Sarah'S Key,147,4.6,3619,10,2010,2
"School Zone - Big Preschool Workbook - Ages 4 And Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",148,4.8,23047,6,2018,1
"School Zone - Big Preschool Workbook - Ages 4 And Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",148,4.8,23047,6,2019,1
"Secret Garden: An Inky Treasure Hunt And Coloring Book (For Adults, Mindfulness Coloring)",59,4.7,9366,9,2015,1
Sh*T My Dad Says,149,4.7,1265,11,2010,1
Ship Of Fools: How A Selfish Ruling Class Is Bringing America To The Brink Of Revolution,150,4.8,3923,16,2018,1
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,151,4.1,2272,6,2013,1
Sookie Stackhouse,46,4.7,973,25,2009,2
"Soul Healing Miracles: Ancient And New Sacred Wisdom, Knowledge, And Practical Techniques For Healing The Spiritual…",52,4.6,220,17,2013,1
Steve Jobs,112,4.6,7827,20,2011,1
Steve Jobs,112,4.6,7827,20,2012,1
Strange Planet (Strange Planet Series),152,4.9,9382,6,2019,2
Strengthsfinder 2.0,153,4.0,5069,17,2009,1
Strengthsfinder 2.0,153,4.0,5069,17,2010,1
Strengthsfinder 2.0,153,4.0,5069,17,2011,1
Strengthsfinder 2.0,153,4.0,5069,17,2012,1
Strengthsfinder 2.0,153,4.0,5069,17,2013,1
Strengthsfinder 2.0,153,4.0,5069,17,2014,1
Strengthsfinder 2.0,153,4.0,5069,17,2015,1
Strengthsfinder 2.0,153,4.0,5069,17,2016,1
Strengthsfinder 2.0,153,4.0,5069,17,2017,1
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, And Why Suicide Bombers Should Buy Life Insurance",154,4.5,1583,18,2009,1
Switch: How To Change Things When Change Is Hard,155,4.6,1907,13,2010,1
Sycamore Row (Jake Brigance),156,4.5,23114,18,2013,2
Teach Like A Champion: 49 Techniques That Put Students On The Path To College,157,4.4,637,20,2010,1
Teach Like A Champion: 49 Techniques That Put Students On The Path To College,157,4.4,637,20,2011,1
The 17 Day Diet: A Doctor'S Plan Designed For Rapid Results,158,4.3,2314,22,2011,1
